"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation method","Annotation","Genome","Homology","RNA Seq"
"Cydia splendana","","Moths","Lepidoptera","1100963","ilCydSple1.2","GCA_910591565.2","630601649","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cydia splendana","","Moths","Lepidoptera","1100963","ilCydSple1.1","GCA_910591565.1","630601649","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cydia splendana","","Moths (alternate haplotype)","Lepidoptera","1100963","ilCydSple1.1_alternate_haplotype","GCA_910591525.1","559810836","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cydia strobilella","","Moths (alternate haplotype)","Lepidoptera","1100964","ilCydStro3.1_alternate_haplotype","GCA_947568895.1","546681372","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cydia strobilella","","Moths","Lepidoptera","1100964","ilCydStro3.1","GCA_947568885.1","542588748","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cygnus atratus","","Black swan","Birds","8868","Cygnus_atratus_primary_v1.0","GCA_013377495.1","1122262644","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cygnus olor","","Mute swan","Birds","8869","bCygOlo1.pri.v2","GCA_009769625.2","1134186642","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cylas formicarius","","Sweet potato weevil (icCylForm1)","Coleoptera","197179","icCylForm1.1","GCF_029955315.1","391116634","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cynocephalus volans","","Philippine flying lemur","Rodents & lagomorphs","110931","mCynVol1.pri","GCA_027409185.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cyprinodon diabolis","NEW","Devil's Hole pupfish","Fish","69136","UCB_CyDiab_1.0","GCA_030533445.1","1220363216","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Cyprinus carpio carpio","","Common carp","Fish","630221","Cypcar_WagV4.0","GCA_905221575.1","1460365368","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Cyrtodaria siliqua","NEW","Bivalves","Metazoa","1920004","xbCyrSili1_p1.0","GCA_037043455.1","2883395251","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daktulosphaira vitifoliae","","Grape phylloxera (Bord-2020)","Hemiptera","58002","ASM2509136v1","GCA_025091365.1","282588554","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Danaus plexippus","","Monarch butterfly","Lepidoptera","13037","MEX_DaPlex","GCA_018135715.1","245173502","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Danaus plexippus plexippus","","Monarch butterfly","Lepidoptera","278856","Dplex_v4","GCA_009731565.1","248676414","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Danio aesculapii","","Panther danio","Fish","1142201","fDanAes4.1","GCA_903798145.1","1381485597","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daphnia carinata","","Water flea (CSIRO-1)","Arthropods","120202","CSIRO_AGI_Dcar_v0.2","GCA_022539665.3","108811333","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daphnia magna","","Fresh water planktonic (NIES)","Arthropods","35525","ASM2063170v1.1","GCA_020631705.2","161467056","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daphnia pulex","","Common water flea (KAP4)","Arthropods","6669","ASM2113471v1","GCA_021134715.1","133196385","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daphnia pulicaria","","Water flea (SC F1-1A)","Arthropods","35523","SC_F0_13B","GCA_021234035.2","185057732","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dascillus cervinus","","Orchid beetle","Coleoptera","285223","icDasCerv2.1","GCA_949768715.1","282734897","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dasysyrphus albostriatus","","Flies (alternate haplotype)","Diptera","414801","idDasAlbo1.1_alternate_haplotype","GCA_946251825.1","662142265","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dasysyrphus albostriatus","","Flies","Diptera","414801","idDasAlbo1.1","GCA_946251815.1","662539497","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Daubentonia madagascariensis","","Aye-aye","Primates","31869","DauMad_v1_BIUU","GCA_004027145.1","2498418007","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Deilephila elpenor","","Elephant hawk-moth","Lepidoptera","283834","ilDeiElpe2.1","GCA_949752805.1","414050916","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Deilephila elpenor","","Elephant hawk-moth (alternate haplotype)","Lepidoptera","283834","ilDeiElpe2.1_alternate_haplotype","GCA_949752825.1","367446089","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Deilephila porcellus","","Moths (alternate haplotype)","Lepidoptera","644661","ilDeiPorc1.1_alternate_haplotype","GCA_905220465.1","398986216","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Deilephila porcellus","","Moths","Lepidoptera","644661","ilDeiPorc1.2","GCA_905220455.2","402056583","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Delphinapterus leucas","","Beluga whale (Cook Inlet)","Mammals","9749","GSC_cook_1.0","GCA_009917745.1","2389893305","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Delphinapterus leucas","","Beluga whale (Bristol Bay)","Mammals","9749","GSC_bbay_1.0","GCA_009917725.1","2422274619","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendroctonus ponderosae","","Mountain pine beetle","Coleoptera","77166","DendPond_male_1.0","GCA_000355655.1","252847629","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendrolimus kikuchii","","Moths","Lepidoptera","765133","ASM1992509v1","GCA_019925095.1","705515768","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendrolimus pini","","Pine lappet","Lepidoptera","151304","ilDenPini1.1","GCA_949752895.1","611132046","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendrolimus punctatus","","Masson pine moth","Lepidoptera","238572","ASM1227379v1","GCA_012273795.1","614070971","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendronephthya gigantea","","Carnation coral (DGI-Jeju-01)","Metazoa","151771","DenGig_1.0","GCA_004324835.1","286150628","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dendrophyllia cribrosa","","Stony corals","Metazoa","1140371","GRF_DCR_1.0","GCA_024195265.1","627238274","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Denticeps clupeoides","","Denticle herring","Fish","299321","fDenClu1.1","GCA_900700375.1","567401054","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Denticeps clupeoides","","Denticle herring","Fish","299321","fDenClu1.2","GCA_900700375.2","567401054","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dermacentor andersoni","","Rocky Mountain wood tick (qqDerAnde1)","Arthropods","34620","qqDerAnde1.2","GCA_023375885.2","2485986691","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dermacentor silvarum","","Ticks (Dsil-2018)","Arthropods","543639","ASM1333974v1","GCA_013339745.1","2474308340","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dermacentor silvarum","","Tick (Dsil-2018)","Arthropods","543639","BIME_Dsil_1.4","GCA_013339745.2","2474308340","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dermatophagoides pteronyssinus","","European house dust mite (airmid)","Arthropods","6956","ASM190122v2","GCA_001901225.2","70778228","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dermochelys coriacea","","Leatherback sea turtle","Reptiles","27794","rDerCor1.pri.v4","GCA_009764565.4","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Desmodus rotundus","","Common vampire bat","Mammals","9430","ASM294091v1","GCA_002940915.1","2079315015","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diabrotica balteata","","Cucumber beetle","Coleoptera","107213","PGI_DIABBA_v3","GCA_918026665.1","1607257046","PGI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diabrotica virgifera virgifera","","Western corn rootworm (Ped12-6-A-3)","Coleoptera","50390","Dvir_v2.0","GCA_003013835.2","2418073815","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diabrotica virgifera virgifera","","Western corn rootworm","Coleoptera","50390","PGI_DIABVI_V3a","GCA_917563875.2","2533404242","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diacarnus erythraeanus","","Sponges","Metazoa","879318","odDiaEryt1.1","GCA_964016965.1","140863112","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diachrysia chrysitis","","Burnished brass moth (alternate haplotype)","Lepidoptera","179674","ilDiaChry1.1_alternate_haplotype","GCA_932294375.1","385757801","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diachrysia chrysitis","","Burnished brass moth","Lepidoptera","179674","ilDiaChry1.1","GCA_932294365.1","386364714","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diadumene lineata","","Sea anemones","Metazoa","1789172","jaDiaLine6.1","GCA_918843875.1","-","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diaperis boleti","","Beetles","Coleoptera","433215","icDiaBole1.1","GCA_963583935.1","542623182","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diaphora mendica","","Moths (alternate haplotype)","Lepidoptera","987922","ilDiaMend1.1_alternate_haplotype","GCA_949125405.1","741130702","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diaphora mendica","","Moths","Lepidoptera","987922","ilDiaMend1.1","GCA_949125395.1","748667298","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diaphorina citri","","Asian citrus psyllid","Hemiptera","121845","Diaci_psyllid_genome_assembly_version_1.1","GCA_000475195.1","485705082","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia brunnea","","Moths (alternate haplotype)","Lepidoptera","987923","ilDiaBrun1.1_alternate_haplotype","GCA_949774955.1","571919242","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia brunnea","","Moths","Lepidoptera","987923","ilDiaBrun1.1","GCA_949774965.1","586774993","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia dahlii","","Moths (alternate haplotype)","Lepidoptera","1804828","ilDiaDahl1.1_alternate_haplotype","GCA_949775585.1","629625288","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia dahlii","","Moths","Lepidoptera","1804828","ilDiaDahl1.1","GCA_949775195.1","682968571","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia mendica","","Moths","Lepidoptera","987924","ilDiaMeni1.1","GCA_949316265.1","727937164","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia mendica","","Moths (alternate haplotype)","Lepidoptera","987924","ilDiaMeni1.1_alternate_haplotype","GCA_949316465.1","710916557","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia rubi","","Moths","Lepidoptera","987925","ilDiaRubi1.1","GCA_932274075.1","624913938","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diarsia rubi","","Moths (alternate haplotype)","Lepidoptera","987925","ilDiaRubi1.1_alternate_haplotype","GCA_932274355.1","575521489","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diatraea saccharalis","","Sugar cane borer","Lepidoptera","40085","PGI_DIATSA_v1","GCA_918026875.1","507694123","PGI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dicentrarchus labrax","","European seabass","Fish","13489","dlabrax2021","GCA_905237075.1","695892153","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Dicycla oo","","Moths","Lepidoptera","1858094","ilDicOoxx2.1","GCA_948252095.1","936702010","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Digitaria exilis","","Monocots (digitaria_exilis)","Plants","1010633","Fonio_CM05836","GCA_902859565.1","716471022","KAUST","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dilophus febrilis","","Flies","Diptera","52734","idDilFebr1.1","GCA_958336335.1","305558315","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dimorphilus gyrociliatus","","Segmented worms","Metazoa","2664684","Dgyrociliatus_assembly","GCA_904063045.1","77897245","Department of Biological Sciences, University of Bergen","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dioctria linearis","","Flies","Diptera","1717392","idDioLine1.1","GCA_963930735.1","1613167115","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dioctria rufipes","","Flies","Diptera","468723","idDioRufi1.1","GCA_963924295.1","1451570944","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diorhabda carinulata","","Northern tamarisk beetle (Delta)","Coleoptera","1163345","icDioCari1.1","GCF_026250575.1","415385902","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diorhabda sublineata","","Subtropical tamarisk beetle (icDioSubl1.1)","Coleoptera","1163346","icDioSubl1.1","GCF_026230105.1","456219552","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diplodus puntazzo","NEW","Sharpsnout seabream","Fish","48915","Dpuntazzo_v2","GCA_963678695.2","788392964","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Diuraphis noxia","","Russian wheat aphid (RWA2)","Hemiptera","143948","Dnoxia_1.0","GCA_001186385.1","395073589","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichopus griseipennis","","Flies","Diptera","327083","idDolGris1.1","GCA_963082915.1","897527385","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichovespula media","","Median wasp","Hymenoptera","881891","iyDolMedi1.1","GCA_911387685.1","247580636","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichovespula media","","Median wasp (alternate haplotype)","Hymenoptera","881891","iyDolMedi1.2_alternate_haplotype","GCA_911387715.2","222179092","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichovespula saxonica","","Wasps, ants, and bees","Hymenoptera","85443","iyDolSaxo1.1","GCA_911387935.1","221833836","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichovespula sylvestris","","Wasps, ants, and bees","Hymenoptera","85444","iyDolSylv1.1","GCA_918808275.1","224800056","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dolichovespula sylvestris","","Wasps, ants, and bees","Hymenoptera","85444","iyDolSylv1.2","GCA_918808275.2","232580358","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dorcus parallelipipedus","","Lesser stag beetle","Coleoptera","41107","icDorPara1.1","GCA_958336345.1","470880531","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Doryrhamphus excisus","NEW","Bluestripe pipefish (RoL-2023G)","Fish","161450","RoL_Dexc_Guam_v1.0","GCA_037039965.1","498061450","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dreissena polymorpha","","Zebra mussle (Duluth1)","Metazoa","45954","UMN_Dpol_1.0","GCA_020536995.1","1797942340","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drepana falcataria","","Moths (alternate haplotype)","Lepidoptera","104428","ilDreFalc1.1_alternate_haplotype","GCA_945859695.1","323433285","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drepana falcataria","","Moths","Lepidoptera","104428","ilDreFalc1.1","GCA_945859725.1","326729860","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drepanosiphum platanoidis","","Aphids (alternate haplotype)","Hemiptera","527648","ihDrePlat2.1_alternate_haplotype","GCA_948098895.1","281230301","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drepanosiphum platanoidis","","Aphids","Hemiptera","527648","ihDrePlat2.1","GCA_948098885.1","284505041","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dromaius novaehollandiae","","Emu","Birds","8790","ZJU1.0","GCA_016128335.1","1247468792","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dromaius novaehollandiae","","Emu","Birds","8790","ZJU2.0","GCA_016128335.2","1247452272","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila albomicans","","Fruit fly (15112-1751.03)","Diptera","7291","ASM965048v2","GCA_009650485.2","167525814","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila ananassae","","Fruit fly (14024-0371.13)","Diptera","7217","ASM1763931v2","GCA_017639315.2","213817545","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila arizonae","","Fruit fly (ariz_Son04)","Diptera","7263","ASM165402v1","GCA_001654025.1","141386800","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila biarmipes","","Fruit fly (raj3)","Diptera","125945","RU_DBia_V1.1","GCA_025231255.1","193597863","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila bipectinata","","Fruit fly","Diptera","42026","Dbip_2.0","GCA_000236285.2","167263958","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila busckii","","Fruit fly (San Diego stock center, stock number 13000-0081.31)","Diptera","30019","ASM1175060v1","GCA_011750605.1","118492362","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila elegans","","Fruit fly","Diptera","30023","Dele_2.0","GCA_000224195.2","171267669","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila erecta","","Fruit fly (14021-0224.00,06,07)","Diptera","7220","DereRS2","GCA_003286155.2","146538397","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila eugracilis","","Fruit fly (14026-0451.02)","Diptera","29029","ASM1815383v1","GCA_018153835.1","164811307","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila ficusphila","","Fruit fly (14025-0441.05)","Diptera","30025","ASM1815226v1","GCA_018152265.1","167832931","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila grimshawi","","Fruit fly (15287-2541.00)","Diptera","7222","ASM1815329v1","GCA_018153295.1","191382978","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila guanche","","Fruit fly","Diptera","7266","DGUA_6","GCA_900245975.1","140632981","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila gunungcola","","Fruit fly (Sukarami)","Diptera","103775","Dgunungcola_SK_2","GCA_025200985.1","189841955","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila histrio","","Flies","Diptera","198718","idDroHist2.2","GCA_958299025.2","189249459","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila hydei","","Fruit fly (15085-1641.00,03,60)","Diptera","7224","DhydRS2","GCA_003285905.2","153741574","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila innubila","","Fruit fly (TH190305)","Diptera","198719","UK_Dinn_1.0","GCA_004354385.1","167978031","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila kikkawai","","Fruit fly (14028-0561.14)","Diptera","30033","ASM1815253v1","GCA_018152535.1","188799863","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila mauritiana","","Fruit fly (mau12)","Diptera","7226","ASM438214v1","GCA_004382145.1","152313266","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila melanogaster","","Fruit fly","Diptera","7227","BDGP6.46","GCA_000001215.4","143726002","FlyBase","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila miranda","","Fruit fly (MSH22)","Diptera","7229","D.miranda_PacBio2.1","GCA_003369915.2","287096000","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila mojavensis","","Fruit fly (15081-1352.22)","Diptera","7230","ASM1815372v1","GCA_018153725.1","163170721","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila nasuta","","Fruit fly (15112-1781.00)","Diptera","42062","ASM2355853v1","GCF_023558535.1","171781232","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila navojoa","","Fruit fly (navoj_Jal97)","Diptera","7232","UFRJ_Dnav_4.2","GCA_001654015.2","147357603","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila obscura","NEW","Flies","Diptera","7282","idDroObsc58.1","GCA_964023925.1","180726816","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila obscura","","Fruit fly (BZ-5 IFL)","Diptera","7282","ASM1815110v1","GCA_018151105.1","179834232","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila persimilis","","Fruit fly (14011-0111.01,24,50)","Diptera","7234","DperRS2","GCA_003286085.2","195512972","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila phalerata","","Flies","Diptera","7283","idDroPhal2.1","GCA_951394115.1","223916580","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila phalerata","","Flies","Diptera","7283","idDroPhal2.2","GCA_951394115.2","223916180","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila pseudoobscura","","Fruit fly (MV2-25)","Diptera","7237","UCI_Dpse_MV25","GCA_009870125.2","163282969","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila rhopaloa","","Fruit fly (14029-0021.01)","Diptera","1041015","ASM1815211v1","GCA_000236305.2","193508231","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila santomea","","Fruit fly (STO CAGO 1482)","Diptera","129105","Prin_Dsan_1.1","GCA_016746245.2","146800522","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila sechellia","","Fruit fly (sech25)","Diptera","7238","ASM438219v2","GCA_004382195.2","153084571","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila simulans","","Fruit fly (w501)","Diptera","7240","Prin_Dsim_3.1","GCA_016746395.2","131663590","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila subobscura","","Fruit fly (14011-0131.10)","Diptera","7241","UCBerk_Dsub_1.0","GCA_008121235.1","126248017","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila subpulchrella","","Fruit fly (33 F10 #4)","Diptera","1486046","RU_Dsub_v1.1","GCA_014743375.2","265153789","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila suzukii","","Fruit fly (WT3_2.0)","Diptera","28584","LBDM_Dsuz_2.1.pri","GCA_013340165.1","268012156","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila takahashii","","Fruit fly (IR98-3 E-12201)","Diptera","29030","ASM1815269v1","GCA_018152695.1","165528346","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila teissieri","","Fruit fly (GT53w)","Diptera","7243","Prin_Dtei_1.1","GCA_016746235.2","149494471","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila virilis","","Fruit fly (15010-1051.48,49,85)","Diptera","7244","DvirRS2","GCA_003285735.2","189443829","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila willistoni","","Fruit fly (14030-0811.24)","Diptera","7260","UCI_dwil_1.1","GCA_018902025.2","246985538","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Drosophila yakuba","","Fruit fly (Tai18E2)","Diptera","7245","Prin_Dyak_Tai18E2_2.1","GCA_016746365.2","147899117","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dryas iulia moderata","","Julia butterfly","Lepidoptera","2752932","Diul.assembly.v1.1","GCA_019049465.1","440278161","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dryobates pubescens","","Downy woodpecker","Birds","118200","bDryPub1.pri","GCA_014839835.1","1187956534","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Dryobota labecula","","Moths","Lepidoptera","2964684","ilDryLabe1.1","GCA_947523025.1","766976549","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dryobotodes eremita","","Moths","Lepidoptera","988106","ilDryErem1.1","GCA_917490735.1","709790899","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dryobotodes eremita","","Moths (alternate haplotype)","Lepidoptera","988106","ilDryErem1.1_alternate_haplotype","GCA_917490515.1","664534381","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Dufourea novaeangliae","","Bee (0120121106)","Hymenoptera","178035","ASM127255v1","GCA_001272555.1","279505983","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
